eval_time,anc_time,anc_state,eval_state,proportion,hpdl,hpdu
2022-07-23,2022-07-09,San Diego,San Diego,0.37960035305878653,0.16666666666666666,0.5862068965517241
2022-07-23,2022-07-09,Baja California,San Diego,0.1007155066544082,0.0,0.2
2022-07-23,2022-07-09,Rest of World,Baja California,0.014261921756568437,0.0,0.0
2022-07-23,2022-07-09,United States,Baja California,0.06557960835262762,0.0,0.4
2022-07-23,2022-07-09,Mexico,Baja California,0.21207311207311208,0.0,1.0
2022-07-23,2022-07-09,Los Angeles,Baja California,0.09776295161734135,0.0,0.5
2022-07-23,2022-07-09,San Diego,Baja California,0.26187863211417817,0.0,1.0
2022-07-23,2022-07-09,Baja California,Baja California,0.3484437740861724,0.0,1.0
2022-07-09,2022-06-25,Rest of World,Rest of World,0.4860728263141322,0.0,1.0
2022-07-09,2022-06-25,United States,Rest of World,0.24326111157197033,0.0,1.0
2022-07-09,2022-06-25,Mexico,Rest of World,0.05287907621122667,0.0,0.3333333333333333
2022-07-09,2022-06-25,Los Angeles,Rest of World,0.10031778016164106,0.0,0.4444444444444444
2022-07-09,2022-06-25,San Diego,Rest of World,0.08885441504320142,0.0,0.42857142857142855
2022-07-09,2022-06-25,Baja California,Rest of World,0.028614790697828314,0.0,0.2
2022-07-09,2022-06-25,Rest of World,United States,0.02569968631048676,0.0,0.07272727272727272
2022-07-09,2022-06-25,United States,United States,0.6320375561471212,0.4827586206896552,0.7857142857142857
2022-07-09,2022-06-25,Mexico,United States,0.014207223507134005,0.0,0.058823529411764705
2022-07-09,2022-06-25,Los Angeles,United States,0.1300963093676274,0.02564102564102564,0.2619047619047619
2022-07-09,2022-06-25,San Diego,United States,0.1681241524719814,0.05263157894736842,0.2962962962962963
2022-07-09,2022-06-25,Baja California,United States,0.029835072195649247,0.0,0.08108108108108109
2022-07-09,2022-06-25,Rest of World,Mexico,0.021680483930469376,0.0,0.13333333333333333
2022-07-09,2022-06-25,United States,Mexico,0.027365023380106667,0.0,0.125
2022-07-09,2022-06-25,Mexico,Mexico,0.704698622781284,0.5,0.9230769230769231
2022-07-09,2022-06-25,Los Angeles,Mexico,0.05997693173557993,0.0,0.1875
2022-07-09,2022-06-25,San Diego,Mexico,0.10870413688608825,0.0,0.23076923076923078
2022-07-09,2022-06-25,Baja California,Mexico,0.07757480128647194,0.0,0.2
2022-07-09,2022-06-25,Rest of World,Los Angeles,0.029725850020283114,0.0,0.06521739130434782
2022-07-09,2022-06-25,United States,Los Angeles,0.09962666707500623,0.038461538461538464,0.1590909090909091
2022-07-09,2022-06-25,Mexico,Los Angeles,0.045166122991593734,0.0,0.09090909090909091
2022-07-09,2022-06-25,Los Angeles,Los Angeles,0.6540765589204477,0.5568181818181818,0.7543859649122807
